Frame,Differences,Time
69275,335136,@0h:48m:6s
69276,495392,@0h:48m:6s
69277,555262,@0h:48m:7s
69319,564322,@0h:48m:8s
69320,593558,@0h:48m:8s
69321,561440,@0h:48m:8s
69322,526042,@0h:48m:8s
69323,512638,@0h:48m:8s
69335,510816,@0h:48m:9s
69336,530000,@0h:48m:9s
69337,522346,@0h:48m:9s
69338,500174,@0h:48m:9s
69339,454894,@0h:48m:9s
69340,399726,@0h:48m:9s
69341,351088,@0h:48m:9s
69468,327884,@0h:48m:14s
69573,378664,@0h:48m:19s
69654,334788,@0h:48m:22s
70030,333408,@0h:48m:38s
70095,418714,@0h:48m:41s
72239,344458,@0h:50m:10s
72388,321638,@0h:50m:16s
72452,502634,@0h:50m:19s
72645,430000,@0h:50m:27s
72682,340938,@0h:50m:28s
72701,341264,@0h:50m:29s
72740,331686,@0h:50m:31s
72741,400444,@0h:50m:31s
72745,375574,@0h:50m:31s
72746,363724,@0h:50m:31s
72747,361804,@0h:50m:31s
72748,365234,@0h:50m:31s
72752,370640,@0h:50m:31s
72753,356420,@0h:50m:31s
72754,331504,@0h:50m:31s
72758,504826,@0h:50m:32s
72765,348250,@0h:50m:32s
72771,492190,@0h:50m:32s
72791,507140,@0h:50m:33s
72887,324222,@0h:50m:37s
78953,386838,@0h:54m:50s
79584,447008,@0h:55m:16s
79771,351490,@0h:55m:24s
85219,343738,@0h:59m:11s
87499,354738,@1h:60m:46s
87501,398596,@1h:60m:46s
87548,346922,@1h:60m:48s
87549,340736,@1h:60m:48s
87555,336490,@1h:60m:48s
87556,340350,@1h:60m:48s
87560,371284,@1h:60m:48s
87863,560966,@1h:1m:1s
87864,558922,@1h:1m:1s
87904,341128,@1h:1m:3s
87905,480032,@1h:1m:3s
92564,581520,@1h:4m:17s
92566,573612,@1h:4m:17s
92955,347580,@1h:4m:33s
93199,581282,@1h:4m:43s
93201,577922,@1h:4m:43s
95182,400192,@1h:6m:6s
95264,452298,@1h:6m:9s
95941,364502,@1h:6m:38s
96045,409748,@1h:6m:42s
96242,340250,@1h:6m:50s
96804,321488,@1h:7m:14s
96972,468824,@1h:7m:20s
97021,421222,@1h:7m:23s
97024,472634,@1h:7m:23s
97025,464786,@1h:7m:23s
