Frame,Differences,Time
128530,91470,@1h:29m:15s
128697,125054,@1h:29m:22s
129331,118704,@1h:29m:49s
129454,96308,@1h:29m:54s
129544,109906,@1h:29m:58s
129606,84304,@1h:30m:0s
129727,110120,@1h:30m:5s
130247,88910,@1h:30m:27s
130641,94656,@1h:30m:43s
130690,169258,@1h:30m:45s
130756,87068,@1h:30m:48s
130996,81604,@1h:30m:58s
131353,139266,@1h:31m:13s
131408,93882,@1h:31m:15s
131502,88164,@1h:31m:19s
132013,81268,@1h:31m:41s
133642,88602,@1h:32m:48s
