Frame,Differences,Time
87334,147156,@1h:60m:39s
87560,84362,@1h:60m:48s
87849,131258,@1h:1m:0s
87863,142712,@1h:1m:1s
87871,103852,@1h:1m:1s
89666,98916,@1h:2m:16s
89751,96428,@1h:2m:20s
89791,100754,@1h:2m:21s
89842,99212,@1h:2m:23s
89943,90212,@1h:2m:28s
90054,82686,@1h:2m:32s
92326,153720,@1h:4m:7s
92564,187880,@1h:4m:17s
92566,217414,@1h:4m:17s
92675,111024,@1h:4m:21s
92777,93672,@1h:4m:26s
92825,126946,@1h:4m:28s
93107,129690,@1h:4m:39s
93199,236940,@1h:4m:43s
93201,241340,@1h:4m:43s
95182,93586,@1h:6m:6s
95264,189796,@1h:6m:9s
95331,95932,@1h:6m:12s
96045,106952,@1h:6m:42s
96067,85548,@1h:6m:43s
96190,86384,@1h:6m:48s
96211,109996,@1h:6m:49s
96332,157850,@1h:6m:54s
96504,134832,@1h:7m:1s
96787,103734,@1h:7m:13s
96854,115568,@1h:7m:16s
96972,92954,@1h:7m:20s
97035,203560,@1h:7m:23s
97038,155336,@1h:7m:23s
97077,115310,@1h:7m:25s
97130,109324,@1h:7m:27s
97296,105852,@1h:7m:34s
97319,90918,@1h:7m:35s
97338,162622,@1h:7m:36s
97451,130412,@1h:7m:40s
97554,123208,@1h:7m:45s
97720,161798,@1h:7m:52s
97845,176036,@1h:7m:57s
97899,90586,@1h:7m:59s
98153,84464,@1h:8m:10s
98813,104502,@1h:8m:37s
98880,96764,@1h:8m:40s
98900,93586,@1h:8m:41s
98918,85782,@1h:8m:42s
98930,167820,@1h:8m:42s
98959,92394,@1h:8m:43s
98978,110522,@1h:8m:44s
99218,201314,@1h:8m:54s
99282,129442,@1h:8m:57s
99299,116450,@1h:8m:57s
99523,139116,@1h:9m:7s
99569,154402,@1h:9m:9s
99596,108536,@1h:9m:10s
99739,183294,@1h:9m:16s
99771,168444,@1h:9m:17s
99812,87282,@1h:9m:19s
99907,94484,@1h:9m:23s
100033,120136,@1h:9m:28s
100617,100148,@1h:9m:52s
104401,106404,@1h:12m:30s
104574,102818,@1h:12m:37s
104618,98154,@1h:12m:39s
104731,107944,@1h:12m:44s
104752,131596,@1h:12m:45s
106666,107084,@1h:14m:4s
107400,84084,@1h:14m:35s
107485,84794,@1h:14m:39s
107596,80282,@1h:14m:43s
107742,95236,@1h:14m:49s
107830,99366,@1h:14m:53s
107885,100512,@1h:14m:55s
108546,87706,@1h:15m:23s
108615,195296,@1h:15m:26s
111953,92718,@1h:17m:45s
114092,87238,@1h:19m:14s
114230,94812,@1h:19m:20s
114258,129736,@1h:19m:21s
114692,138908,@1h:19m:39s
114890,128170,@1h:19m:47s
114941,138856,@1h:19m:49s
115007,121320,@1h:19m:52s
115050,96000,@1h:19m:54s
115376,101128,@1h:20m:7s
116535,89178,@1h:20m:56s
117564,122164,@1h:21m:38s
117567,161040,@1h:21m:39s
117648,171532,@1h:21m:42s
118025,96334,@1h:21m:58s
118172,169968,@1h:22m:4s
118225,123442,@1h:22m:6s
119452,83736,@1h:22m:57s
119703,84448,@1h:23m:8s
119741,82824,@1h:23m:9s
120141,95962,@1h:23m:26s
120299,107224,@1h:23m:32s
120512,142132,@1h:23m:41s
120711,150340,@1h:23m:50s
121515,88968,@1h:24m:23s
121641,90856,@1h:24m:28s
121653,89722,@1h:24m:29s
121661,112234,@1h:24m:29s
121750,150894,@1h:24m:33s
121775,106066,@1h:24m:34s
121934,106386,@1h:24m:41s
123302,117662,@1h:25m:38s
125120,92796,@1h:26m:53s
125822,96974,@1h:27m:23s
127419,89794,@1h:28m:29s
130687,135248,@1h:30m:45s
130733,125718,@1h:30m:47s
133700,86794,@1h:32m:51s
136917,100928,@1h:35m:5s
137011,95840,@1h:35m:9s
137386,95670,@1h:35m:24s
137443,92810,@1h:35m:27s
138817,96356,@1h:36m:24s
