Frame,Differences,Time
27496,402852.7083333333,@0h:19m:6s
31464,420007.4166666667,@0h:21m:51s
31465,426677.75,@0h:21m:51s
31466,413419.4166666667,@0h:21m:51s
31475,420290.875,@0h:21m:51s
31476,430821.875,@0h:21m:52s
31477,436590.25,@0h:21m:52s
31478,412674.3333333333,@0h:21m:52s
32010,451630.5,@0h:22m:14s
32011,424975.1666666667,@0h:22m:14s
34192,409257.7083333333,@0h:23m:45s
34193,408274.625,@0h:23m:45s
34864,400721.4166666667,@0h:24m:13s
34865,405754.625,@0h:24m:13s
34899,421789.0833333333,@0h:24m:14s
34900,416874.0,@0h:24m:14s
34901,410079.6666666667,@0h:24m:14s
34902,401873.875,@0h:24m:14s
51806,404130.9583333333,@0h:35m:59s
65770,445754.75,@0h:45m:40s
73932,421847.0,@0h:51m:20s
83442,444174.1666666667,@0h:57m:57s
83443,434487.5833333333,@0h:57m:57s
83444,423725.25,@0h:57m:57s
83445,404236.25,@0h:57m:57s
91584,422730.9583333333,@1h:3m:36s
91585,434380.7916666667,@1h:3m:36s
91586,430176.0833333333,@1h:3m:36s
91587,422491.9166666667,@1h:3m:36s
91588,415705.0833333333,@1h:3m:36s
91589,400212.6666666667,@1h:3m:36s
106685,456954.8333333333,@1h:14m:5s
106686,447554.8333333333,@1h:14m:5s
106687,438139.875,@1h:14m:5s
106688,428472.5,@1h:14m:5s
106689,411000.25,@1h:14m:5s
107272,466996.5,@1h:14m:30s
107273,457770.5833333333,@1h:14m:30s
107274,448321.9166666667,@1h:14m:30s
107275,438667.375,@1h:14m:30s
107276,428196.8333333333,@1h:14m:30s
107277,418835.8333333333,@1h:14m:30s
107278,408166.25,@1h:14m:30s
123560,403092.7916666667,@1h:25m:48s
123953,407955.5,@1h:26m:5s
123954,442230.0,@1h:26m:5s
123955,440910.625,@1h:26m:5s
123956,440349.0,@1h:26m:5s
126078,425428.75,@1h:27m:33s
126079,417058.4583333333,@1h:27m:33s
126080,408562.3333333333,@1h:27m:33s
126081,400548.5,@1h:27m:33s
127272,430654.0,@1h:28m:23s
127837,480769.375,@1h:28m:47s
129413,417260.0,@1h:29m:52s
129414,409842.375,@1h:29m:52s
129415,404697.0,@1h:29m:52s
129416,406184.2916666667,@1h:29m:52s
129417,410595.5,@1h:29m:52s
129454,447478.8333333333,@1h:29m:54s
129455,440318.125,@1h:29m:54s
129456,439996.8333333333,@1h:29m:54s
129457,441975.0833333333,@1h:29m:54s
129458,440634.75,@1h:29m:54s
129459,441732.5416666667,@1h:29m:54s
129460,437695.125,@1h:29m:54s
129461,432562.375,@1h:29m:54s
129462,427247.0,@1h:29m:54s
129463,413079.625,@1h:29m:54s
129464,407958.1666666667,@1h:29m:54s
129544,424583.625,@1h:29m:58s
129545,414711.625,@1h:29m:58s
129546,405621.1666666667,@1h:29m:58s
129783,406935.4166666667,@1h:30m:8s
129784,402624.3333333333,@1h:30m:8s
129857,417932.375,@1h:30m:11s
129858,410385.2083333333,@1h:30m:11s
129859,402688.4166666667,@1h:30m:11s
130283,472751.0833333333,@1h:30m:28s
130284,446447.3333333333,@1h:30m:28s
130285,420423.0,@1h:30m:29s
136403,403655.25,@1h:34m:43s
136404,408520.5416666667,@1h:34m:44s
136405,412874.125,@1h:34m:44s
136406,415179.5833333333,@1h:34m:44s
136407,417522.5833333333,@1h:34m:44s
136408,420924.9166666667,@1h:34m:44s
136409,422896.9583333333,@1h:34m:44s
136410,424913.4166666667,@1h:34m:44s
136411,426912.4166666667,@1h:34m:44s
136412,431016.2083333333,@1h:34m:44s
136413,435855.6666666667,@1h:34m:44s
136414,440841.3333333333,@1h:34m:44s
136415,446626.375,@1h:34m:44s
136416,452700.6666666667,@1h:34m:44s
136417,461833.5833333333,@1h:34m:44s
136418,467341.25,@1h:34m:44s
136419,464511.625,@1h:34m:44s
